name,day,years,prevalence,cases
Withdraw,3464,0.4904109589041096,0.5173427,2.8077939
Withdraw,3478,0.5287671232876713,0.52119637,2.986717
Withdraw,3492,0.5671232876712329,0.5254866,3.1416483
Withdraw,3506,0.6054794520547945,0.52942795,3.2632613
Withdraw,3520,0.6438356164383562,0.5320766,3.2728806
Withdraw,3534,0.6821917808219178,0.53262603,3.1320043
Withdraw,3548,0.7205479452054795,0.5305062,2.8487418
Withdraw,3562,0.7589041095890411,0.52559805,2.4889784
Withdraw,3576,0.7972602739726027,0.518279,2.1425998
Withdraw,3590,0.8356164383561644,0.50922984,1.8781133
Withdraw,3604,0.873972602739726,0.49945247,1.7743299
Withdraw,3618,0.9123287671232877,0.4905796,1.8655338
Withdraw,3632,0.9506849315068493,0.4846933,2.0682445
Withdraw,3646,0.989041095890411,0.4835519,2.3439503
Withdraw,3660,1.0273972602739727,0.48733747,2.5954847
Withdraw,3674,1.0657534246575342,0.49383074,2.7378156
Withdraw,3688,1.104109589041096,0.50081563,2.8099046
Withdraw,3702,1.1424657534246576,0.5069105,2.7985432
Withdraw,3716,1.180821917808219,0.5115479,2.7527232
Withdraw,3730,1.2191780821917808,0.51477396,2.684515
Withdraw,3744,1.2575342465753425,0.51677066,2.6204681
Withdraw,3758,1.295890410958904,0.51788586,2.5768685
Withdraw,3772,1.3342465753424657,0.51856315,2.5540469
Withdraw,3786,1.3726027397260274,0.51922166,2.5475426
Withdraw,3800,1.4109589041095891,0.5202279,2.5638897
Withdraw,3814,1.4493150684931506,0.5219379,2.6236598
Withdraw,3828,1.4876712328767123,0.52466977,2.746837
Withdraw,3842,1.526027397260274,0.5285525,2.9042652
Withdraw,3856,1.5643835616438355,0.53333986,3.059032
Withdraw,3870,1.6027397260273972,0.5383354,3.175785
Withdraw,3884,1.641095890410959,0.5425004,3.1883936
Withdraw,3898,1.6794520547945206,0.54469675,3.073409
Withdraw,3912,1.7178082191780821,0.54401046,2.7997355
Withdraw,3926,1.7561643835616438,0.54005164,2.4249904
Withdraw,3940,1.7945205479452055,0.53301185,2.0758057
Withdraw,3954,1.832876712328767,0.5235692,1.8187163
Withdraw,3968,1.8712328767123287,0.513012,1.71633
Withdraw,3982,1.9095890410958904,0.5033882,1.8131552
Withdraw,3996,1.9479452054794522,0.49697036,2.019927
Withdraw,4010,1.9863013698630136,0.49533305,2.278716
Withdraw,4024,2.0246575342465754,0.4984584,2.5106885
Withdraw,4038,2.063013698630137,0.5042532,2.6403012
Withdraw,4052,2.1013698630136988,0.51055676,2.6817775
Withdraw,4066,2.1397260273972605,0.51612884,2.6618562
Withdraw,4080,2.1780821917808217,0.5203711,2.603222
