name,input_mode,net,net_future,dn0_use,itn_use,irs_use,dn0_future,itn_future,irs_future,routine,lsm,seasonal,eir_baseline,mosquito_delta,eir_final,hbr_baseline,hbr_new,prev_y9,prev_endline,cases_endline
Withdraw,prevalence,py_only,none,0.3110000000000001,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.960129416238765,0.0,31.960129416238765,,,0.45602792501449585,0.49814853072166443,2.127163887023926
Pyrethroid-only,prevalence,py_only,pyrethroid_only,0.3110000000000001,0.7,0.0,0.3110000000000001,0.7,0.0,0.0,0.0,0.0,31.960129416238765,0.0,31.960129416238765,,,0.45602792501449585,0.4836880564689636,2.433112621307373
PBO,prevalence,py_only,pyrethroid_pbo,0.3110000000000001,0.7,0.0,0.48495000000000005,0.7,0.0,0.0,0.0,0.0,31.960129416238765,0.0,31.960129416238765,,,0.45602792501449585,0.47011837363243103,2.4124436378479004
Pyrrole,prevalence,py_only,pyrethroid_pyrrole,0.3110000000000001,0.7,0.0,0.5501500000000001,0.7,0.0,0.0,0.0,0.0,31.960129416238765,0.0,31.960129416238765,,,0.45602792501449585,0.4641997814178467,2.389937162399292
PBO + IRS + LSM,prevalence,py_only,pyrethroid_pbo,0.3110000000000001,0.7,0.0,0.48495000000000005,0.7,0.6,0.0,0.3,0.0,31.960129416238765,0.0,31.960129416238765,,,0.45602792501449585,0.03809599205851555,0.16528663039207458
